                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0286,                 2.0198,                 1.3203,                 0.7628,                0.65289,                0.72299,                 0.4865,                 1.2418,                 2.0939,                  1.663,             0.00047175,             0.00047175,             0.00047175
                      2,                 1.0868,                 1.5353,                 1.3392,                 0.7526,                0.44468,                0.56692,                0.36222,                 1.4035,                 2.7583,                 1.8019,              0.0009387,              0.0009387,              0.0009387
                      3,                 1.1204,                 1.4119,                 1.3466,                0.64405,                0.30977,                0.33127,                0.20801,                 2.0213,                 3.2562,                 2.4268,              0.0013962,              0.0013962,              0.0013962
                      4,                 1.1238,                  1.329,                  1.338,                0.73365,                0.65167,                0.70439,                0.45663,                 1.4739,                 1.6678,                 1.7611,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.0993,                  1.211,                 1.3256,                0.74247,                0.57152,                0.61725,                0.39959,                 1.6345,                 1.8378,                 1.9374,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.0678,                 1.1072,                 1.2897,                0.79744,                0.69305,                0.73302,                0.51451,                 1.2239,                 1.2167,                 1.5107,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.0276,                 1.0161,                  1.269,                0.86188,                0.68327,                0.81176,                0.58547,                 1.1624,                 1.1203,                 1.5025,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.0002,                0.98507,                 1.2442,                 0.8012,                0.76458,                0.79153,                0.54222,                 1.2091,                 1.0682,                 1.5634,                0.00133,                0.00133,                0.00133
                      9,                0.97144,                0.92179,                 1.2355,                0.78338,                0.72796,                0.81175,                0.59961,                 1.1086,                0.93898,                 1.4376,              0.0013158,              0.0013158,              0.0013158
                     10,                0.94561,                0.86009,                 1.2201,                 0.8279,                0.76458,                0.85281,                0.60869,                 1.1678,                0.85667,                 1.5023,              0.0013017,              0.0013017,              0.0013017
                     11,                0.94413,                0.87386,                 1.2191,                0.78018,                0.77809,                0.83654,                 0.5948,                 1.1064,                0.89454,                 1.4334,              0.0012875,              0.0012875,              0.0012875
                     12,                0.89164,                0.80404,                 1.1919,                0.83864,                0.75862,                0.86209,                0.64479,                   1.07,                0.82679,                 1.4085,              0.0012734,              0.0012734,              0.0012734
                     13,                0.93651,                0.82742,                 1.2151,                0.74678,                0.82982,                 0.8074,                0.57546,                 1.1728,                 1.0017,                 1.5046,              0.0012592,              0.0012592,              0.0012592
                     14,                0.87667,                0.75726,                 1.1744,                0.75727,                 0.7486,                0.79581,                0.58589,                 1.1052,                0.91796,                 1.4538,              0.0012451,              0.0012451,              0.0012451
